BARANGAY,MONTH,YEAR,Cases,RAINFALL,TMAX,TMIN,WIND_SPEED,AvgH,Population
BUROL,1,2010,0,5.8,30.28461538,24.66153846,4,76,9503
BUROL,2,2010,0,0,31.16923077,24.77692308,4,69,9481
BUROL,3,2010,0,10.4,32.56923077,25.8,4,68,9458
BUROL,4,2010,0,45.4,34.3,27.03076923,5,65,9436
BUROL,5,2010,0,36.8,34.89230769,27.87692308,4,69,9413
BUROL,6,2010,0,151.2,33.31538462,27.09230769,3,86,9391
BUROL,7,2010,3,355.9,32.9,26.9,3,85,9369
BUROL,8,2010,6,375.2,32.3,26.5,3,86,9347
BUROL,9,2010,7,291.8,32.5,26.7,2,85,9324
BUROL,10,2010,3,444.7,31.6,26.6,3,88,9302
BUROL,11,2010,4,240.9,31.3,26.2,3,86,9280
BUROL,12,2010,2,98,30.3,25.7,3,84,9258
BUROL,1,2011,10,69.7,30,24.7,3,83,9236
BUROL,2,2011,1,0,31,24.9,4,77,9214
BUROL,3,2011,1,48,31.3,25.6,4,77,9192
BUROL,4,2011,1,3,32.7,26,5,70,9171
BUROL,5,2011,0,251.7,34.3,27.1,3,80,9149
BUROL,6,2011,1,744.5,32,26.4,3,85,9127
BUROL,7,2011,0,393.1,31.3,26.4,3,87,9105
BUROL,8,2011,4,486.6,31.2,26.3,3,90,9084
BUROL,9,2011,4,423.1,31.1,25.9,3,90,9062
BUROL,10,2011,0,172.1,32.5,25.9,3,87,9041
BUROL,11,2011,1,156.2,31.7,25.7,3,82,9019
BUROL,12,2011,2,198.5,30,25.3,3,86,8998
BUROL,1,2012,0,25.2,30.8,25.3,3,82,8976
BUROL,2,2012,0,104.2,31.2,25.4,4,79,8955
BUROL,3,2012,0,88.5,31.6,25.6,4,78,8934
BUROL,4,2012,0,10.5,34.5,27,4,71,8913
BUROL,5,2012,0,294.3,34.5,27.5,3,83,8892
BUROL,6,2012,0,232,32.2,26.7,3,83,8870
BUROL,7,2012,1,748,31.7,25.9,3,87,8849
BUROL,8,2012,10,1186.3,30.4,25.3,3,87,8828
BUROL,9,2012,1,591.5,31.5,25.8,2,85,8807
BUROL,10,2012,2,308,31.7,25.6,3,81,8787
BUROL,11,2012,5,12.7,33,26.2,3,78,8766
BUROL,12,2012,2,11.4,32,25.8,3,78,8745
BUROL,1,2013,2,37.6,30.2,24.2,4,76,8724
BUROL,2,2013,0,110,32,25,4,73,8703
BUROL,3,2013,0,58.4,33,26.1,4,76,8683
BUROL,4,2013,0,1.4,35.3,27.7,4,71,8662
BUROL,5,2013,0,47.4,35,28,3,78,8642
BUROL,6,2013,0,290.9,34.1,27.1,2,85,8621
BUROL,7,2013,2,533,32.7,25.9,2,85,8601
BUROL,8,2013,1,1339.5,31,25.5,2,88,8580
BUROL,9,2013,3,977.2,30.5,25.5,2,89,8560
BUROL,10,2013,0,246.3,31.2,25.7,2,84,8539
BUROL,11,2013,2,130.2,31.4,25.9,2,84,8519
BUROL,12,2013,1,28.8,31.3,25.4,2,82,8499
BUROL,1,2014,0,0.4,29.5,23.4,3,76,8479
BUROL,2,2014,0,3.3,31.3,24.1,3,74,8459
BUROL,3,2014,0,7.2,32.5,25.4,4,72,8439
BUROL,4,2014,0,1.2,35,26.8,4,70,8419
