BARANGAY,Year,1 Total,1 D,1 A,2 Total,2 D,2 A,3 Total,3 D,3 A,4 Total,4 D,4 A,5 Total,5 D,5 A,6 Total,6 D,6 A,7 Total,7 D,7 A,8 Total,8 D,8 A,9 Total,9 D,9 A,10 Total,10 D,10 A,11 Total,11 D,11 A,12 Total,12 D,12 A,Grand Total
BUROL,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,0,6,7,0,7,3,0,3,4,0,4,2,0,2,25
BUROL,2011,10,0,10,1,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,4,0,4,4,0,4,0,0,0,1,0,1,2,0,2,25
BUROL,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,10,0,10,1,0,1,2,0,2,5,0,5,2,0,2,21
BUROL,2013,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,3,0,3,0,0,0,2,0,2,1,0,1,11
BUROL,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,10,0,10,1,0,1,2,0,2,5,0,5,2,0,2,21
BUROL,2015,1,0,1,4,2,2,1,1,0,1,0,1,0,0,0,0,0,0,3,2,1,7,1,6,11,5,6,20,11,9,7,1,6,0,0,0,55
BUROL,2016,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,3,0,3,0,0,0,0,0,0,8
BUROL,2017,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2,3,0,3,1,0,1,5,0,5,2,0,2,3,0,3,0,0,0,17
BUROL,2018,1,0,1,3,0,3,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,2,0,2,5,0,5,11,0,11,16,0,16,42
BUROL,2019,7,1,6,5,0,5,0,0,0,1,0,1,2,0,2,1,0,1,15,0,15,23,0,23,31,0,31,11,0,11,7,0,7,0,0,0,103
BUROL,2020,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,8
BUROL,2021,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,1,0,2,2,0,3,2,1,9
BUROL,2022,0,0,0,2,0,2,2,0,2,0,0,0,0,0,0,3,0,3,6,0,6,6,0,6,0,0,0,1,0,1,1,0,1,0,0,0,21
BUROL,2023,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,4,0,4,0,0,0,7
BUROL,2024,1,0,1,3,0,3,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,6,0,6,1,0,1,9,0,9,3,0,3,8,0,8,34
BUROL I,2010,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,7,0,7,1,0,1,1,0,1,1,0,1,15
BUROL I,2011,2,0,2,3,0,3,1,0,1,0,0,0,0,0,0,4,0,4,4,0,4,6,0,6,2,0,2,0,0,0,1,0,1,0,0,0,23
BUROL I,2012,2,0,2,2,0,2,1,0,1,0,0,0,2,0,2,2,0,2,2,0,2,10,0,10,11,0,11,5,1,4,3,0,3,5,0,5,45
BUROL I,2013,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,3,2,0,2,6,0,6,1,0,1,16
BUROL I,2014,2,0,2,2,0,2,1,0,1,0,0,0,2,0,2,2,0,2,2,0,2,10,0,10,11,0,11,5,1,4,3,0,3,5,0,5,45
BUROL I,2015,1,0,1,4,2,2,0,0,0,0,0,0,0,0,0,1,0,1,3,1,2,9,4,5,14,5,9,30,20,10,18,10,8,1,1,0,81
BUROL I,2016,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,3,2,0,2,1,0,1,3,0,3,1,0,1,14
BUROL I,2017,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,5,0,5,4,0,4,2,0,2,2,0,2,1,0,1,17
BUROL I,2018,5,0,5,2,0,2,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,6,0,6,5,0,5,9,0,9,10,0,10,3,0,3,43
BUROL I,2019,6,0,6,2,0,2,1,0,1,0,0,0,1,0,1,2,0,2,8,0,8,24,0,24,44,0,44,13,0,13,11,1,10,2,0,2,114
BUROL I,2020,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5
BUROL I,2021,1,1,0,6,4,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,2,0,7,3,4,2,1,1,24
BUROL I,2022,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,2,0,2,1,0,1,0,0,0,11
BUROL I,2023,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,5
BUROL I,2024,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,7,0,7,18,0,18,13,0,13,15,0,15,10,0,10,67
BUROL II,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,1,0,1,2,0,2,0,0,0,6
BUROL II,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,2,1,0,1,0,0,0,1,0,1,5
BUROL II,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,0,0,0,1,0,1,1,0,1,0,0,0,6
BUROL II,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,2,1,0,1,0,0,0,1,0,1,5
BUROL II,2015,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,7,4,3,8,2,6,2,1,1,0,0,0,20
BUROL II,2016,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,3,0,0,0,2,0,2,2,0,2,9
BUROL II,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,1,0,1,5
BUROL II,2018,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,4,7,0,7,2,0,2,0,0,0,16
BUROL II,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,5,14,1,13,3,0,3,3,0,3,0,0,0,26
BUROL II,2020,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
BUROL II,2021,2,2,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,7
BUROL II,2023,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
BUROL II,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,5,0,5,3,0,3,2,0,2,13
BUROL III,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,1,4,1,0,1,1,0,1,8
BUROL III,2011,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,7
BUROL III,2012,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,4
BUROL III,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,4,0,4,0,0,0,0,0,0,1,0,1,8
BUROL III,2014,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,4
BUROL III,2015,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,3,7,6,1,9,4,5,4,1,3,2,1,1,26
BUROL III,2016,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,1,0,0,0,5
BUROL III,2017,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
BUROL III,2018,4,0,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2,8,0,8,3,0,3,21
BUROL III,2019,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2,6,0,6,27,0,27,32,0,32,5,0,5,6,1,5,3,0,3,83
BUROL III,2020,1,0,1,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6
BUROL III,2021,3,1,2,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,8
BUROL III,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,2,0,2,1,0,1,6
BUROL III,2023,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
BUROL III,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,3,0,3,4,0,4,16,0,16,26
DASMARIÑAS,2013,25,0,25,13,1,12,15,0,15,3,0,3,12,0,12,22,0,22,101,0,101,126,0,126,174,0,174,116,0,116,101,0,101,62,0,62,770
DATU ESMAEL (BAGO-A-INGUD),2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,2,0,2,0,0,0,2,0,2,7
DATU ESMAEL (BAGO-A-INGUD),2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,4
DATU ESMAEL (BAGO-A-INGUD),2012,3,0,3,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,1,3,0,3,2,0,2,4,0,4,2,0,2,0,0,0,17
DATU ESMAEL (BAGO-A-INGUD),2013,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2,1,0,1,5,0,5,0,0,0,1,0,1,13
DATU ESMAEL (BAGO-A-INGUD),2014,3,0,3,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,1,3,0,3,2,0,2,4,0,4,2,0,2,0,0,0,17
DATU ESMAEL (BAGO-A-INGUD),2015,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,4,1,3,0,0,0,5,4,1,2,2,0,14
DATU ESMAEL (BAGO-A-INGUD),2016,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,0,0,0,7
DATU ESMAEL (BAGO-A-INGUD),2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,1,1,0,1,0,1,1,0,1,6
DATU ESMAEL (BAGO-A-INGUD),2018,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,0,0,0,2,0,2,0,0,0,7
DATU ESMAEL (BAGO-A-INGUD),2019,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,3,0,3,6,1,5,7,0,7,11,0,11,1,0,1,1,0,1,0,0,0,32
DATU ESMAEL (BAGO-A-INGUD),2020,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
DATU ESMAEL (BAGO-A-INGUD),2022,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,3
EMMANUEL BERGADO I,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2
EMMANUEL BERGADO I,2011,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2
EMMANUEL BERGADO I,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,1,0,1,5
EMMANUEL BERGADO I,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,3,1,0,1,0,0,0,0,0,0,5
EMMANUEL BERGADO I,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,1,0,1,5
EMMANUEL BERGADO I,2015,2,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,6,5,1,8,3,5,5,3,2,10,5,5,4,1,3,0,0,0,37
EMMANUEL BERGADO I,2016,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,7
EMMANUEL BERGADO I,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,0,2,0,0,0,0,0,0,2,0,2,6
EMMANUEL BERGADO I,2018,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,1,2,9
EMMANUEL BERGADO I,2019,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,5,0,5,6,0,6,17,0,17,7,0,7,9,0,9,3,0,3,50
EMMANUEL BERGADO I,2020,2,0,2,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,7
EMMANUEL BERGADO I,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,3,1,2,1,1,0,1,0,1,7
EMMANUEL BERGADO I,2022,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3
EMMANUEL BERGADO I,2023,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2
