BARANGAY,YEAR,MONTH,Cases,RAINFALL,TMAX,TMIN,WIND_SPEED,WIND_DIRECTION,RH,TAVG
BUROL,2010,1,0,5.8,30.28461538461539,24.661538461538463,4.0,110.0,76.38461538461539,27.47307692307692
BUROL,2011,1,10,69.7,30.0,24.7,3.0,110.0,76.0,27.35
BUROL,2012,1,0,25.2,30.8,25.3,3.0,140.0,78.0,28.05
BUROL,2013,1,2,37.6,30.2,24.2,4.0,140.0,78.0,27.2
BUROL,2014,1,0,0.4,29.5,23.4,3.0,140.0,72.0,26.45
BUROL,2015,1,1,31.8,29.5,23.6,2.0,140.0,79.0,26.55
BUROL,2016,1,0,1.4,31.3,25.3,3.0,90.0,78.0,28.3
BUROL,2017,1,0,52.5,29.7,25.0,3.0,90.0,77.0,27.35
BUROL,2018,1,1,16.4,30.3,25.4,3.0,90.0,77.0,27.85
BUROL,2019,1,7,5.7,30.6,24.9,3.0,90.0,72.0,27.75
BUROL,2020,1,5,4.2,31.0,24.9,3.0,90.0,78.0,27.95
BUROL,2021,1,1,84.6,30.3,24.6,2.0,320.0,77.0,27.450000000000003
BUROL,2022,1,0,15.8,30.8,24.7,3.0,90.0,74.0,27.75
BUROL,2023,1,1,72.6,29.7,24.6,3.0,90.0,77.0,27.15
BUROL I,2010,1,2,5.8,30.28461538461539,24.661538461538463,4.0,110.0,76.38461538461539,27.47307692307692
BUROL I,2011,1,2,69.7,30.0,24.7,3.0,110.0,76.0,27.35
BUROL I,2012,1,2,25.2,30.8,25.3,3.0,140.0,78.0,28.05
BUROL I,2013,1,1,37.6,30.2,24.2,4.0,140.0,78.0,27.2
BUROL I,2014,1,2,0.4,29.5,23.4,3.0,140.0,72.0,26.45
BUROL I,2015,1,1,31.8,29.5,23.6,2.0,140.0,79.0,26.55
BUROL I,2016,1,1,1.4,31.3,25.3,3.0,90.0,78.0,28.3
BUROL I,2017,1,1,52.5,29.7,25.0,3.0,90.0,77.0,27.35
BUROL I,2018,1,5,16.4,30.3,25.4,3.0,90.0,77.0,27.85
BUROL I,2019,1,6,5.7,30.6,24.9,3.0,90.0,72.0,27.75
BUROL I,2020,1,2,4.2,31.0,24.9,3.0,90.0,78.0,27.95
BUROL I,2021,1,1,84.6,30.3,24.6,2.0,320.0,77.0,27.450000000000003
BUROL I,2022,1,0,15.8,30.8,24.7,3.0,90.0,74.0,27.75
BUROL I,2023,1,1,72.6,29.7,24.6,3.0,90.0,77.0,27.15
BUROL II,2011,1,0,69.7,30.0,24.7,3.0,110.0,76.0,27.35
BUROL II,2012,1,0,25.2,30.8,25.3,3.0,140.0,78.0,28.05
BUROL II,2013,1,0,37.6,30.2,24.2,4.0,140.0,78.0,27.2
BUROL II,2014,1,0,0.4,29.5,23.4,3.0,140.0,72.0,26.45
BUROL II,2015,1,1,31.8,29.5,23.6,2.0,140.0,79.0,26.55
BUROL II,2016,1,1,1.4,31.3,25.3,3.0,90.0,78.0,28.3
BUROL II,2017,1,0,52.5,29.7,25.0,3.0,90.0,77.0,27.35
BUROL II,2018,1,1,16.4,30.3,25.4,3.0,90.0,77.0,27.85
BUROL II,2019,1,0,5.7,30.6,24.9,3.0,90.0,72.0,27.75
BUROL II,2020,1,0,4.2,31.0,24.9,3.0,90.0,78.0,27.95
BUROL II,2021,1,2,84.6,30.3,24.6,2.0,320.0,77.0,27.450000000000003
BUROL II,2023,1,1,72.6,29.7,24.6,3.0,90.0,77.0,27.15
BUROL III,2010,1,0,5.8,30.28461538461539,24.661538461538463,4.0,110.0,76.38461538461539,27.47307692307692
BUROL III,2011,1,2,69.7,30.0,24.7,3.0,110.0,76.0,27.35
BUROL III,2012,1,1,25.2,30.8,25.3,3.0,140.0,78.0,28.05
BUROL III,2013,1,0,37.6,30.2,24.2,4.0,140.0,78.0,27.2
BUROL III,2014,1,1,0.4,29.5,23.4,3.0,140.0,72.0,26.45
BUROL III,2015,1,0,31.8,29.5,23.6,2.0,140.0,79.0,26.55
BUROL III,2016,1,1,1.4,31.3,25.3,3.0,90.0,78.0,28.3
BUROL III,2017,1,0,52.5,29.7,25.0,3.0,90.0,77.0,27.35
BUROL III,2018,1,4,16.4,30.3,25.4,3.0,90.0,77.0,27.85
BUROL III,2019,1,1,5.7,30.6,24.9,3.0,90.0,72.0,27.75
BUROL III,2020,1,1,4.2,31.0,24.9,3.0,90.0,78.0,27.95
BUROL III,2021,1,3,84.6,30.3,24.6,2.0,320.0,77.0,27.450000000000003
BUROL III,2022,1,0,15.8,30.8,24.7,3.0,90.0,74.0,27.75
BUROL III,2023,1,0,72.6,29.7,24.6,3.0,90.0,77.0,27.15
DATU ESMAEL (BAGO-A-INGUD),2010,1,0,5.8,30.28461538461539,24.661538461538463,4.0,110.0,76.38461538461539,27.47307692307692
DATU ESMAEL (BAGO-A-INGUD),2011,1,0,69.7,30.0,24.7,3.0,110.0,76.0,27.35
DATU ESMAEL (BAGO-A-INGUD),2012,1,3,25.2,30.8,25.3,3.0,140.0,78.0,28.05
DATU ESMAEL (BAGO-A-INGUD),2013,1,1,37.6,30.2,24.2,4.0,140.0,78.0,27.2
DATU ESMAEL (BAGO-A-INGUD),2014,1,3,0.4,29.5,23.4,3.0,140.0,72.0,26.45
DATU ESMAEL (BAGO-A-INGUD),2015,1,1,31.8,29.5,23.6,2.0,140.0,79.0,26.55
DATU ESMAEL (BAGO-A-INGUD),2016,1,1,1.4,31.3,25.3,3.0,90.0,78.0,28.3
DATU ESMAEL (BAGO-A-INGUD),2017,1,0,52.5,29.7,25.0,3.0,90.0,77.0,27.35
DATU ESMAEL (BAGO-A-INGUD),2018,1,1,16.4,30.3,25.4,3.0,90.0,77.0,27.85
DATU ESMAEL (BAGO-A-INGUD),2019,1,1,5.7,30.6,24.9,3.0,90.0,72.0,27.75
DATU ESMAEL (BAGO-A-INGUD),2020,1,1,4.2,31.0,24.9,3.0,90.0,78.0,27.95
DATU ESMAEL (BAGO-A-INGUD),2022,1,0,15.8,30.8,24.7,3.0,90.0,74.0,27.75
EMMANUEL BERGADO I,2010,1,0,5.8,30.28461538461539,24.661538461538463,4.0,110.0,76.38461538461539,27.47307692307692
EMMANUEL BERGADO I,2011,1,1,69.7,30.0,24.7,3.0,110.0,76.0,27.35
EMMANUEL BERGADO I,2012,1,0,25.2,30.8,25.3,3.0,140.0,78.0,28.05
EMMANUEL BERGADO I,2013,1,0,37.6,30.2,24.2,4.0,140.0,78.0,27.2
EMMANUEL BERGADO I,2014,1,0,0.4,29.5,23.4,3.0,140.0,72.0,26.45
EMMANUEL BERGADO I,2015,1,2,31.8,29.5,23.6,2.0,140.0,79.0,26.55
EMMANUEL BERGADO I,2016,1,3,1.4,31.3,25.3,3.0,90.0,78.0,28.3
EMMANUEL BERGADO I,2017,1,0,52.5,29.7,25.0,3.0,90.0,77.0,27.35
EMMANUEL BERGADO I,2018,1,1,16.4,30.3,25.4,3.0,90.0,77.0,27.85
EMMANUEL BERGADO I,2019,1,1,5.7,30.6,24.9,3.0,90.0,72.0,27.75
EMMANUEL BERGADO I,2020,1,2,4.2,31.0,24.9,3.0,90.0,78.0,27.95
EMMANUEL BERGADO I,2021,1,0,84.6,30.3,24.6,2.0,320.0,77.0,27.450000000000003
EMMANUEL BERGADO I,2022,1,0,15.8,30.8,24.7,3.0,90.0,74.0,27.75
EMMANUEL BERGADO I,2023,1,0,72.6,29.7,24.6,3.0,90.0,77.0,27.15
EMMANUEL BERGADO II,2010,1,0,5.8,30.28461538461539,24.661538461538463,4.0,110.0,76.38461538461539,27.47307692307692
EMMANUEL BERGADO II,2011,1,0,69.7,30.0,24.7,3.0,110.0,76.0,27.35
