BARANGAY,YEAR,MONTH,Predicted_Cases,Risk_Level
SALAWAG,2024,1,6.061485,High
SAN MATEO,2024,1,2.550681,Medium
SALITRAN III,2024,1,2.454292,Medium
PALIPARAN III,2024,1,2.3540323,Medium
SAMPALOC IV,2024,1,1.3353269,Low
SANTA FE,2024,1,1.3328307,Low
BUROL,2024,1,1.1823881,Low
PALIPARAN I,2024,1,1.0955683,Low
LANGKAAN I,2024,1,1.028335,Low
PALIPARAN II,2024,1,0.97459,Low
SAN AGUSTIN II,2024,1,0.69381243,Low
DATU ESMAEL (BAGO-A-INGUD),2024,1,0.66104954,Low
LUZVIMINDA I,2024,1,0.66104954,Low
SAMPALOC I,2024,1,0.66104954,Low
SAN FRANCISCO I,2024,1,0.66104954,Low
SAN ISIDRO LABRADOR I,2024,1,0.66104954,Low
SAN JOSE,2024,1,0.66104954,Low
SAN LORENZO RUIZ II,2024,1,0.66104954,Low
SAN LUIS II,2024,1,0.66104954,Low
SALITRAN II,2024,1,0.501109,Low
SABANG,2024,1,0.2720102,Low
BUROL I,2024,1,0.14296067,Low
H-II,2024,1,0.14296067,Low
LUZVIMINDA II,2024,1,0.14296067,Low
SAINT PETER I,2024,1,0.14296067,Low
SAN AGUSTIN I,2024,1,0.14296067,Low
SAN ANDRES I,2024,1,0.14296067,Low
SAN ESTEBAN (BARANGAY IV),2024,1,0.14296067,Low
SAN LORENZO RUIZ I,2024,1,0.14296067,Low
SAN LUIS I,2024,1,0.14296067,Low
SAN MANUEL I,2024,1,0.14296067,Low
SAN MANUEL II,2024,1,0.14296067,Low
SAN MIGUEL II,2024,1,0.14296067,Low
SAN NICOLAS I,2024,1,0.14296067,Low
SANTA CRUZ II,2024,1,0.14296067,Low
SANTA MARIA (BARANGAY 20),2024,1,0.14296067,Low
SANTO CRISTO (BARANGAY III),2024,1,0.14296067,Low
SANTO NIÑO II,2024,1,0.14296067,Low
ZONE I-B,2024,1,0.14296067,Low
ZONE III,2024,1,0.14296067,Low
SALITRAN I,2024,1,0.017551225,Low
SANTA CRUZ I,2024,1,0.017551225,Low
BUROL II,2024,1,0.0,Low
BUROL III,2024,1,0.0,Low
EMMANUEL BERGADO I,2024,1,0.0,Low
EMMANUEL BERGADO II,2024,1,0.0,Low
FATIMA I,2024,1,0.0,Low
FATIMA II,2024,1,0.0,Low
FATIMA III,2024,1,0.0,Low
LANGKAAN II,2024,1,0.0,Low
SAINT PETER II,2024,1,0.0,Low
SALITRAN IV,2024,1,0.0,Low
SAMPALOC II,2024,1,0.0,Low
SAMPALOC III,2024,1,0.0,Low
SAMPALOC V,2024,1,0.0,Low
SAN AGUSTIN III,2024,1,0.0,Low
SAN ANDRES II,2024,1,0.0,Low
SAN ANTONIO DE PADUA I,2024,1,0.0,Low
SAN ANTONIO DE PADUA II,2024,1,0.0,Low
SAN DIONISIO (BARANGAY I),2024,1,0.0,Low
SAN FRANCISCO II,2024,1,0.0,Low
SAN ISIDRO LABRADOR II,2024,1,0.0,Low
SAN JUAN (SAN JUAN I),2024,1,0.0,Low
SAN MIGUEL,2024,1,0.0,Low
SAN NICOLAS II,2024,1,0.0,Low
SAN ROQUE (STA. CRISTINA II),2024,1,0.0,Low
SAN SIMON (BARANGAY 7),2024,1,0.0,Low
SANTA CRISTINA I,2024,1,0.0,Low
SANTA CRISTINA II,2024,1,0.0,Low
SANTA LUCIA (SAN JUAN II),2024,1,0.0,Low
SANTO NIÑO I,2024,1,0.0,Low
VICTORIA REYES,2024,1,0.0,Low
ZONE I,2024,1,0.0,Low
ZONE II,2024,1,0.0,Low
ZONE IV,2024,1,0.0,Low
