MONTH,YEAR,Predicted_Cases,BARANGAY_ID
1,2010,0.0,0
2,2010,0.0,0
3,2010,0.0,0
4,2010,0.0,0
5,2010,0.0,0
6,2010,0.0,0
7,2010,3.0,0
8,2010,6.0,0
9,2010,7.0,0
10,2010,3.0,0
11,2010,4.0,0
12,2010,2.0,0
1,2011,10.0,0
2,2011,1.0,0
3,2011,1.0,0
4,2011,1.0,0
5,2011,0.0,0
6,2011,1.0,0
7,2011,0.0,0
8,2011,4.0,0
9,2011,4.0,0
10,2011,0.0,0
11,2011,1.0,0
12,2011,2.0,0
1,2012,0.0,0
2,2012,0.0,0
3,2012,0.0,0
4,2012,0.0,0
5,2012,0.0,0
6,2012,0.0,0
7,2012,1.0,0
8,2012,10.0,0
9,2012,1.0,0
10,2012,2.0,0
11,2012,5.0,0
12,2012,2.0,0
1,2013,2.0,0
2,2013,0.0,0
3,2013,0.0,0
4,2013,0.0,0
5,2013,0.0,0
6,2013,0.0,0
7,2013,2.0,0
8,2013,1.0,0
9,2013,3.0,0
10,2013,0.0,0
11,2013,2.0,0
12,2013,1.0,0
1,2014,0.0,0
2,2014,0.0,0
3,2014,0.0,0
4,2014,0.0,0
5,2014,0.0,0
6,2014,0.0,0
7,2014,1.0,0
8,2014,10.0,0
9,2014,1.0,0
10,2014,2.0,0
11,2014,5.0,0
12,2014,2.0,0
1,2015,1.0,0
2,2015,4.0,0
3,2015,1.0,0
4,2015,1.0,0
5,2015,0.0,0
6,2015,0.0,0
7,2015,3.0,0
8,2015,7.0,0
9,2015,11.0,0
10,2015,20.0,0
11,2015,7.0,0
12,2015,0.0,0
1,2016,0.0,0
2,2016,0.0,0
3,2016,3.0,0
4,2016,0.0,0
5,2016,0.0,0
6,2016,1.0,0
7,2016,0.0,0
8,2016,1.0,0
9,2016,0.0,0
10,2016,3.0,0
11,2016,0.0,0
12,2016,0.0,0
1,2017,0.0,0
2,2017,1.0,0
3,2017,0.0,0
4,2017,0.0,0
5,2017,0.0,0
6,2017,2.0,0
7,2017,3.0,0
8,2017,1.0,0
9,2017,5.0,0
10,2017,2.0,0
11,2017,3.0,0
12,2017,0.0,0
1,2018,1.0,0
2,2018,3.0,0
3,2018,1.0,0
4,2018,0.0,0
5,2018,0.0,0
6,2018,1.0,0
7,2018,1.0,0
8,2018,1.0,0
9,2018,2.0,0
10,2018,5.0,0
11,2018,11.0,0
12,2018,16.0,0
1,2019,7.0,0
2,2019,5.0,0
3,2019,0.0,0
4,2019,1.0,0
5,2019,2.0,0
6,2019,1.0,0
7,2019,15.0,0
8,2019,23.0,0
9,2019,31.0,0
10,2019,11.0,0
11,2019,7.0,0
12,2019,0.0,0
1,2020,5.0,0
2,2020,0.0,0
3,2020,0.0,0
4,2020,0.0,0
5,2020,0.0,0
6,2020,0.0,0
7,2020,0.0,0
8,2020,0.0,0
9,2020,0.0,0
10,2020,0.0,0
11,2020,1.0,0
12,2020,2.0,0
1,2021,1.0,0
2,2021,0.0,0
3,2021,0.0,0
4,2021,0.0,0
5,2021,0.0,0
6,2021,0.0,0
7,2021,2.0,0
8,2021,0.0,0
