YEAR,MONTH,BARANGAY_ID,Predicted_Cases,Predicted_Risk
2025,1,0,4.37,Low
2025,2,0,5.01,Medium
2025,3,0,5.48,Medium
2025,4,0,5.8,Medium
2025,5,0,6.66,Medium
2025,6,0,8.64,Medium
2025,7,0,11.36,High
2025,8,0,8.65,High
2025,9,0,9.97,Medium
2025,10,0,11.42,High
2025,11,0,3.66,Medium
2025,12,0,3.47,Low
2026,1,0,5.08,Low
2026,2,0,6.04,Medium
2026,3,0,6.38,Medium
2026,4,0,7.45,Medium
2025,1,1,3.83,Medium
2025,2,1,3.47,Low
2025,3,1,4.68,Low
2025,4,1,5.4,Medium
2025,5,1,5.94,Medium
2025,6,1,6.66,Medium
2025,7,1,9.7,Medium
2025,8,1,10.85,High
2025,9,1,8.16,High
2025,10,1,9.02,Medium
2025,11,1,9.61,High
2025,12,1,10.12,High
2026,1,1,9.29,Medium
2026,2,1,9.34,High
2026,3,1,8.13,High
2026,4,1,7.39,Medium
2026,5,1,9.4,Medium
2025,1,2,2.29,Low
2025,2,2,2.8,Low
2025,3,2,2.91,Low
2025,4,2,3.04,Low
2025,5,2,3.76,Low
2025,6,2,3.68,Medium
2025,7,2,4.11,Low
2025,8,2,5.04,Medium
2025,9,2,5.34,Medium
2025,10,2,5.85,Medium
2025,11,2,6.22,Medium
2025,12,2,7.41,Medium
2026,1,2,7.87,Medium
2026,2,2,8.09,Medium
2026,3,2,7.46,High
2026,4,2,7.01,Medium
2026,5,2,7.93,Medium
2025,1,3,15.93,High
2025,2,3,6.02,Medium
2025,3,3,3.11,Low
2025,4,3,4.13,Low
2025,5,3,5.41,Medium
2025,6,3,5.77,Medium
2025,7,3,6.55,Medium
2025,8,3,7.23,Medium
2025,9,3,8.31,Medium
2025,10,3,10.1,High
2025,11,3,8.14,High
2025,12,3,8.93,Medium
2026,1,3,10.13,High
2026,2,3,8.81,Medium
2026,3,3,8.48,Medium
2026,4,3,7.93,High
2026,5,3,9.74,High
2025,1,4,1.06,Low
2025,2,4,2.14,Low
2025,3,4,2.96,Low
2025,4,4,2.73,Low
2025,5,4,2.37,Low
2025,6,4,2.94,Low
2025,7,4,3.09,Medium
2025,8,4,3.73,Medium
2025,9,4,3.47,Medium
2025,10,4,3.23,Low
2025,11,4,3.31,Low
2025,12,4,3.25,Low
2026,1,4,2.79,Low
2026,2,4,2.69,Low
2026,3,4,2.6,Low
2026,4,4,2.54,Low
2026,5,4,2.25,Low
2025,1,5,0.76,Low
2025,2,5,3.34,Low
2025,3,5,5.89,Medium
2025,4,5,4.96,Medium
2025,5,5,4.63,Medium
2025,6,5,4.51,Medium
2025,7,5,5.02,Medium
2025,8,5,6.17,Medium
2025,9,5,6.51,Medium
2025,10,5,7.62,Medium
2025,11,5,8.4,Medium
2025,12,5,9.29,High
2026,1,5,10.03,High
2026,2,5,8.37,Medium
2026,3,5,8.33,Medium
2026,4,5,7.37,High
2026,5,5,9.42,Medium
2025,1,6,2.55,Low
2025,2,6,2.48,Low
2025,3,6,2.27,Low
2025,4,6,2.22,Low
2025,5,6,2.1,Low
2025,6,6,2.08,Low
2025,7,6,2.15,Low
2025,8,6,2.13,Low
2025,9,6,2.12,Low
2025,10,6,2.11,Low
2025,11,6,2.06,Low
2025,12,6,2.03,Low
2026,1,6,2.04,Low
2026,2,6,2.03,Low
2026,3,6,2.02,Low
2026,4,6,2.04,Low
2026,5,6,1.99,Low
2025,1,7,4.13,Medium
2025,2,7,3.72,Medium
2025,3,7,3.39,Low
2025,4,7,3.47,Low
2025,5,7,3.87,Low
2025,6,7,4.64,Medium
2025,7,7,5.28,Medium
2025,8,7,5.46,Medium
2025,9,7,4.47,Medium
2025,10,7,4.14,Medium
2025,11,7,4.13,Medium
2025,12,7,3.55,Medium
2026,1,7,3.19,Low
2026,2,7,3.17,Low
2026,3,7,3.01,Low
2026,4,7,3.07,Low
2026,5,7,3.32,Low
2025,1,8,0.45,Low
2025,2,8,0.94,Low
2025,3,8,1.77,Low
2025,4,8,2.15,Low
2025,5,8,2.32,Low
2025,6,8,2.76,Low
2025,7,8,2.93,Low
2025,8,8,3.23,Low
2025,9,8,3.48,Low
2025,10,8,3.76,Medium
2025,11,8,4.23,Medium
2025,12,8,4.59,Medium
2026,1,8,5.11,Medium
2026,2,8,5.55,Medium
2026,3,8,5.87,Medium
2026,4,8,6.44,Medium
2026,5,8,8.78,Medium
2025,1,9,2.47,Low
2025,2,9,2.9,Low
2025,3,9,3.39,Low
2025,4,9,3.58,Medium
2025,5,9,3.92,Medium
2025,6,9,4.26,Medium
2025,7,9,5.12,Medium
2025,8,9,5.51,Medium
2025,9,9,5.67,Medium
2025,10,9,5.15,Medium
2025,11,9,4.98,Medium
2025,12,9,4.68,Medium
2026,1,9,5.0,Medium
2026,2,9,6.0,Medium
2026,3,9,6.0,Medium
2026,4,9,5.71,Medium
2026,5,9,6.0,Medium
2025,1,10,4.06,Medium
2025,2,10,3.57,Low
2025,3,10,4.06,Low
2025,4,10,5.59,Medium
2025,5,10,6.22,Medium
2025,6,10,8.04,Medium
2025,7,10,11.03,High
2025,8,10,8.64,High
2025,9,10,9.81,Medium
2025,10,10,11.37,High
2025,11,10,8.47,Medium
2025,12,10,9.03,Medium
2026,1,10,9.93,High
2026,2,10,10.27,High
2026,3,10,9.36,Medium
2026,4,10,8.38,High
2026,5,10,10.34,High
2025,1,11,6.52,Medium
2025,2,11,3.17,Low
2025,3,11,3.02,Low
2025,4,11,3.43,Low
2025,5,11,4.35,Medium
2025,6,11,5.13,Medium
2025,7,11,5.58,Medium
2025,8,11,5.84,Medium
2025,9,11,6.68,Medium
2025,10,11,8.05,Medium
2025,11,11,8.98,High
2025,12,11,9.51,High
2026,1,11,10.42,High
2026,2,11,9.02,Medium
2026,3,11,9.01,High
2026,4,11,8.36,High
2026,5,11,10.33,High
2025,1,12,8.35,High
2025,2,12,4.07,Medium
2025,3,12,2.19,Low
2025,4,12,2.75,Low
2025,5,12,3.94,Low
2025,6,12,4.38,Medium
2025,7,12,5.31,Medium
2025,8,12,5.57,Medium
2025,9,12,5.94,Medium
2025,10,12,6.53,Medium
2025,11,12,7.84,Medium
2025,12,12,8.27,Medium
2026,1,12,9.78,High
2026,2,12,10.31,High
2026,3,12,8.96,Medium
2026,4,12,8.22,High
2026,5,12,10.22,High
2025,1,13,1.59,Low
2025,2,13,1.39,Low
2025,3,13,1.22,Low
2025,4,13,1.18,Low
2025,5,13,0.97,Low
2025,6,13,1.32,Low
2025,7,13,1.65,Low
2025,8,13,1.67,Low
2025,9,13,1.93,Low
2025,10,13,1.91,Low
2025,11,13,2.13,Low
2025,12,13,2.4,Low
2026,1,13,2.63,Low
2026,2,13,2.83,Low
2026,3,13,2.99,Low
2026,4,13,3.28,Low
2026,5,13,3.92,Medium
2025,1,14,0.07,Low
2025,2,14,2.73,Low
2025,3,14,13.78,Low
2025,4,14,25.0,High
2025,5,14,25.0,High
2025,6,14,25.0,High
2025,7,14,9.63,Medium
2025,8,14,3.48,Low
2025,9,14,1.92,Low
2025,10,14,2.71,Low
2025,11,14,3.37,Medium
2025,12,14,4.06,Medium
2026,1,14,4.49,Medium
2026,2,14,4.39,Medium
2026,3,14,4.08,Medium
2026,4,14,3.79,Medium
