BARANGAY,YEAR,MONTH,Cases,RAINFALL,TMAX,TMIN,WIND_SPEED,WIND_DIRECTION,RH,TAVG,DATE,Cases_Lagged,Cases_Rolling_Avg_3M
BUROL,2010,1,0,5.8,30.28461538461539,24.661538461538463,4.0,110.0,76.38461538461539,27.47307692307692,2010-01-01,0.0,0.0
BUROL,2010,2,0,0.0,31.16923076923077,24.77692307692308,4.0,110.0,74.61538461538461,27.973076923076924,2010-02-01,0.0,0.0
BUROL,2010,3,0,10.4,32.56923076923077,25.800000000000004,4.0,110.0,72.84615384615384,29.184615384615388,2010-03-01,0.0,0.0
BUROL,2010,4,0,45.4,34.3,27.030769230769224,5.0,110.0,70.76923076923077,30.665384615384617,2010-04-01,0.0,0.0
BUROL,2010,5,0,36.8,34.89230769230769,27.87692307692308,4.0,110.0,73.61538461538461,31.38461538461539,2010-05-01,0.0,0.0
BUROL,2010,6,0,151.2,33.31538461538462,27.09230769230769,3.0,180.0,78.53846153846153,30.20384615384616,2010-06-01,0.0,0.0
BUROL,2010,7,3,355.9,32.9,26.9,3.0,110.0,82.0,29.9,2010-07-01,0.0,1.0
BUROL,2010,8,6,375.2,32.3,26.5,3.0,220.0,84.0,29.4,2010-08-01,3.0,3.0
BUROL,2010,9,7,291.8,32.5,26.7,2.0,270.0,81.0,29.6,2010-09-01,6.0,5.333333333333333
BUROL,2010,10,3,444.7,31.6,26.6,3.0,110.0,83.0,29.1,2010-10-01,7.0,5.333333333333333
BUROL,2010,11,4,240.9,31.3,26.2,3.0,110.0,82.0,28.75,2010-11-01,3.0,4.666666666666667
BUROL,2010,12,2,98.0,30.3,25.7,3.0,110.0,80.0,28.0,2010-12-01,4.0,3.0
BUROL,2011,1,10,69.7,30.0,24.7,3.0,110.0,76.0,27.35,2011-01-01,2.0,5.333333333333333
BUROL,2011,2,1,0.0,31.0,24.9,4.0,110.0,74.0,27.95,2011-02-01,10.0,4.333333333333333
BUROL,2011,3,1,48.0,31.3,25.6,4.0,110.0,74.0,28.450000000000003,2011-03-01,1.0,4.0
BUROL,2011,4,1,3.0,32.7,26.0,5.0,110.0,70.0,29.35,2011-04-01,1.0,1.0
BUROL,2011,5,0,251.7,34.3,27.1,3.0,140.0,76.0,30.7,2011-05-01,1.0,0.6666666666666666
BUROL,2011,6,1,744.5,32.0,26.4,3.0,140.0,83.0,29.2,2011-06-01,0.0,0.6666666666666666
BUROL,2011,7,0,393.1,31.3,26.4,3.0,270.0,84.0,28.85,2011-07-01,1.0,0.3333333333333333
BUROL,2011,8,4,486.6,31.2,26.3,3.0,270.0,86.0,28.75,2011-08-01,0.0,1.6666666666666667
BUROL,2011,9,4,423.1,31.1,25.9,3.0,270.0,85.0,28.5,2011-09-01,4.0,2.6666666666666665
BUROL,2011,10,0,172.1,32.5,25.9,3.0,140.0,81.0,29.2,2011-10-01,4.0,2.6666666666666665
BUROL,2011,11,1,156.2,31.7,25.7,3.0,110.0,80.0,28.7,2011-11-01,0.0,1.6666666666666667
BUROL,2011,12,2,198.5,30.0,25.3,3.0,140.0,82.0,27.65,2011-12-01,1.0,1.0
BUROL,2012,1,0,25.2,30.8,25.3,3.0,140.0,78.0,28.05,2012-01-01,2.0,1.0
BUROL,2012,2,0,104.2,31.2,25.4,4.0,140.0,77.0,28.3,2012-02-01,0.0,0.6666666666666666
BUROL,2012,3,0,88.5,31.6,25.6,4.0,140.0,77.0,28.6,2012-03-01,0.0,0.0
BUROL,2012,4,0,10.5,34.5,27.0,4.0,140.0,71.0,30.75,2012-04-01,0.0,0.0
BUROL,2012,5,0,294.3,34.5,27.5,3.0,270.0,77.0,31.0,2012-05-01,0.0,0.0
BUROL,2012,6,0,232.0,32.2,26.7,3.0,270.0,81.0,29.450000000000003,2012-06-01,0.0,0.0
BUROL,2012,7,1,748.0,31.7,25.9,3.0,270.0,85.0,28.8,2012-07-01,0.0,0.3333333333333333
BUROL,2012,8,10,1186.3,30.4,25.3,3.0,270.0,88.0,27.85,2012-08-01,1.0,3.6666666666666665
BUROL,2012,9,1,591.5,31.5,25.8,2.0,270.0,86.0,28.65,2012-09-01,10.0,4.0
BUROL,2012,10,2,308.0,31.7,25.6,3.0,140.0,80.0,28.65,2012-10-01,1.0,4.333333333333333
BUROL,2012,11,5,12.7,33.0,26.2,3.0,140.0,75.0,29.6,2012-11-01,2.0,2.6666666666666665
BUROL,2012,12,2,11.4,32.0,25.8,3.0,140.0,77.0,28.9,2012-12-01,5.0,3.0
BUROL,2013,1,2,37.6,30.2,24.2,4.0,140.0,78.0,27.2,2013-01-01,2.0,3.0
BUROL,2013,2,0,110.0,32.0,25.0,4.0,140.0,76.0,28.5,2013-02-01,2.0,1.3333333333333333
BUROL,2013,3,0,58.4,33.0,26.1,4.0,140.0,73.0,29.55,2013-03-01,0.0,0.6666666666666666
BUROL,2013,4,0,1.4,35.3,27.7,4.0,140.0,71.0,31.5,2013-04-01,0.0,0.0
BUROL,2013,5,0,47.4,35.0,28.0,3.0,140.0,75.0,31.5,2013-05-01,0.0,0.0
BUROL,2013,6,0,290.9,34.1,27.1,2.0,140.0,80.0,30.6,2013-06-01,0.0,0.0
BUROL,2013,7,2,533.0,32.7,25.9,2.0,140.0,82.0,29.3,2013-07-01,0.0,0.6666666666666666
BUROL,2013,8,1,1339.5,31.0,25.5,2.0,270.0,86.0,28.25,2013-08-01,2.0,1.0
